Prediction,Actual,Error %,,Average Error %
6.11,6.25,2.24,,
6.12,6.25,2.08,,
6.12,6.25,2.08,,
6.21,6.25,0.64,,
6.21,6.25,0.64,,
6.18,6.26,1.277955272,,
6.18,6.26,1.277955272,,
6.44,6.26,2.875399361,,
6.44,6.26,2.875399361,,
6.08,6.26,2.875399361,,
6.08,6.26,2.875399361,,
5.57,6.26,11.02236422,,
5.57,6.26,11.02236422,,
6.47,6.26,3.354632588,,
6.47,6.26,3.354632588,,
6.29,6.26,0.479233227,,
6.29,6.26,0.479233227,,
6.38,6.26,1.916932907,,
6.38,6.26,1.916932907,,
6.25,6.26,0.159744409,,
6.25,6.26,0.159744409,,
6.38,6.26,1.916932907,,
6.38,6.26,1.916932907,,
6.2,6.26,0.958466454,,
6.2,6.26,0.958466454,,
6.36,6.26,1.597444089,,
6.36,6.26,1.597444089,,
6.33,6.26,1.118210863,,
6.33,6.26,1.118210863,,
6.33,6.27,0.956937799,,
6.33,6.27,0.956937799,,
